nom	ville	province	region	telephone	email	site_web	source_url
Vittoria - Azienda Vinicola Olearia	Massafra	TA	Puglia	3.48697E+19		https://wa.me/+393486973314?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/oleificio-vittoria-massafra-ta
Madri Leone	Trinitapoli	BT	Puglia	3495246401		https://wa.me/+393495246401?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/madri-leone-trinitapoli-bt
Societa' Agricola La Murgetta	Corato	BA	Puglia	3473918194		https://wa.me/+393473918194?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/aziendazootecnicalamurgetta
Azienda Agricola Vittorio	Lequile	LE	Puglia	3921350727		https://wa.me/+393921350727?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/azienda-agricola-vittorio-funghi-lequile-le
Agri Europea	Cerignola	FG	Puglia	885415288			https://www.paginegialle.it/agrieuropea
Pantaleo Agricoltura Srl	Fasano	BR	Puglia	3398278120		https://wa.me/+393398278120?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/pantaleo-agricoltura-azienda-agricola
Azienda Agricola Antresini Diego Vito	Castellaneta	TA	Puglia	9.98447E+18		https://wa.me/+393282229136?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/azienda-agricola-antresini-diego-vito-castellaneta-ta
Frantoio Oleario Tre Emme	Torre Santa Susanna	BR	Puglia	8.31747E+18		https://wa.me/+393888980897?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/frantoio-treemme-torre-santa-susanna-br
Bear Bush Cannabis Light Shop Self H24 Delivery Dispensary Store Grow & Seed	Bari	BA	Puglia	3.40545E+19		https://wa.me/+393405445453?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/bearbush-bari
Greco - Società Agricola	San Vito dei Normanni	BR	Puglia	831951610			https://www.paginegialle.it/grecoalimentare
Albanese Fruit di Domenico Albanese	Trani	BT	Puglia	3207691732		https://wa.me/+393207691732?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/aziendaagricolaalbanesetrani
Azienda Agricola Uliveto Totaro	Mattinata	FG	Puglia	3471389631		https://wa.me/+393471389631?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/azienda-agricola-totaro-mattinata-fg
Vivai Arnaldo	Giurdignano	LE	Puglia	3792708928		https://wa.me/+393792708928?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/vivai-arnaldo-giurdignano-le
Vivai Pellegrino - Barbatelle Selvatiche ed Innestate	Otranto	LE	Puglia	3.38924E+19		https://wa.me/+393339197137?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/vivai-pellegrino-barbatelle-selvatiche-innestate-otranto-le
Chalet del Sole	Molfetta	BA	Puglia	803349365		https://www.ristorantechaletdelsole.com	https://www.paginegialle.it/chalet-sole-molfetta
Roberta Azienda Agricola Biologica	Bisceglie	BT	Puglia	3533189568		https://wa.me/+393533189568?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/robertaaziendaagricolabiologicagalantino
Pasta Valdoro - Azienda Agricola in Basilicata	Gravina in Puglia	BA	Puglia	3396940396		https://wa.me/+393396940396?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/pastavaldoro
Agricola Commerciale Gioiese	Gioia del Colle	BA	Puglia	803484448			https://www.paginegialle.it/agricola-commerciale-gioiese-gioia-del-colle
Azienda Agricola Settembre	Otranto	LE	Puglia	8.36803E+18		https://wa.me/+393296410082?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/azienda-agricola-settembre-otranto-le
Azienda Agricola Masseria Veneri	San Vito dei Normanni	BR	Puglia	3.47009E+19		https://wa.me/+393470090311?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masseriaveneri
Mulino Pezzulla	Uggiano la Chiesa	LE	Puglia	836817958			https://www.paginegialle.it/mulino-pezzulla-uggianolachiesa
F.lli De Grecis Grandi Vivai	Bitonto	BA	Puglia	803751012			https://www.paginegialle.it/azienda-agricola-grandi-vivai-fratelli-de-grecis-bitonto-ba
La Vegliese	Veglie	LE	Puglia	3.38308E+19		https://wa.me/+393383082359?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/azienda-agricola-cavoti-s-r-l
Azienda Agricola Fanelli	Giovinazzo	BA	Puglia	3.47243E+19		https://wa.me/+393472426535?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/azienda-agricola-fanelli
Azienda Agricola Masseria Pepe S.n.c	Mola di Bari	BA	Puglia	804733669			https://www.paginegialle.it/azienda-agricola-masseria-pepe-snc-mola-di-bari
Rinnovamento Societa' Cooperativa	Bari	BA	Puglia	805011157			https://www.paginegialle.it/cooprinnov
Società Cooperativa Agricola	Polignano a Mare	BA	Puglia	804240650			https://www.paginegialle.it/cooperativaagricola
Salute cultura e società	Foggia	FG	Puglia	8.8158E+18		https://wa.me/+393473169685?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/saluteculturasocieta
Antonaci Stemar Soc. Coop	Neviano	LE	Puglia	3.40542E+19		https://wa.me/+393405420605?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/stemars-occop-cooperative-le
Casa Famiglia Jonathan	Gagliano del Capo	LE	Puglia	8.33548E+28		https://wa.me/+393295399314?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/societa-cooperativa-sociale-jonathan-gagliano-del-capo
Oleovinicola Coop. Coldiretti	Triggiano	BA	Puglia	8.04681E+18		https://wa.me/+393498348028?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/oleificio-oleovinicola-coop-coldiretti-triggiano-ba
Solidarieta' - Societa' Cooperativa Sociale a Responsabilita' Limitata	Parabita	LE	Puglia	3249852163		https://wa.me/+393249852163?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/solidarieta-societacooperativasocialearesponsabilitalimitata-parabit
Coop Alleanza 3.0 Societa' Cooperativa	Bari	BA	Puglia	805023806			https://www.paginegialle.it/bari-ba/centri-commerciali/coop_2
"Conad,Csa Cooperativa S. Allende Arl"	Martina Franca	TA	Puglia	804838435			https://www.paginegialle.it/martina-franca-ta/cooperativa-lavoro/cooperativa-s.-allende_4
Coop Alleanza 3.0 Societa' Cooperativa	Lecce	LE	Puglia	832270111			https://www.paginegialle.it/lecce-le/parafarmacie/coop-alleanza-3-0-societa-cooperativa
Gruppo Lavoro Service S.r.l.	Triggiano	BA	Puglia	8.04623E+18		https://wa.me/+393493412712?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/triggiano-ba/cooperativa-lavoro/gruppo-lavoro-service_6
San Giorgio Societa' Cooperativa a R.L.	Triggiano	BA	Puglia	805525299			https://www.paginegialle.it/triggiano-ba/cooperativa-lavoro/san-giorgio-societa-cooperativa-a-r-l
Theutra Soc. Coop.	Lecce	LE	Puglia				https://www.paginegialle.it/lecce-le/cooperativa-lavoro/theutra-soc-coop
Abacadabra	Bari	BA	Puglia	8.05025E+18			https://www.paginegialle.it/bari-ba/cooperativa-lavoro/servizi-multipli-integrati-societa-cooperativa-soc
Abbatepaolo Giovanni	Polignano a Mare	BA	Puglia	804247788			https://www.paginegialle.it/polignano-a-mare-ba/cooperativa-lavoro/abbatepaolo-giovanni-cosimo
Abc Service - Societa' Cooperativa	Conversano	BA	Puglia	804953173			https://www.paginegialle.it/conversano-ba/cooperativa-lavoro/abc-service-piccola-societa-cooperativa-arl
Ag Service	Polignano a Mare	BA	Puglia	8.04266E+18			https://www.paginegialle.it/polignano-a-mare-ba/cooperativa-lavoro/ag-service-societa-cooperativa
Agenzia Funebre Antonaci Stemar Soc.Coop. Multiservi	Neviano	LE	Puglia	3.33148E+19		https://wa.me/+393331476937?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/neviano-le/cooperativa-lavoro/antonaci-stemar
Agrisole - Societa' Cooperativa Agricola	Torremaggiore	FG	Puglia	882381987			https://www.paginegialle.it/torremaggiore-fg/agrisole-societ-cooperativa-agricola
Alba Societa	Mesagne	BR	Puglia	831778954			https://www.paginegialle.it/mesagne-br/cooperativa-lavoro/alba-societa-cooperativa-sociale-onlus
